DATE,SDY
2011-08-15,50.05
2011-08-16,49.985
2011-08-17,49.81999999999999
2011-08-18,48.36
2011-08-19,47.965
2011-08-22,48.035
2011-08-23,49.485
2011-08-24,50.145
2011-08-25,49.435
2011-08-26,50.02
2011-08-29,51.40000000000001
2011-08-30,51.27
2011-08-31,51.895
2011-09-01,51.18
2011-09-02,50.205
2011-09-06,49.88500000000001
2011-09-07,51.11
2011-09-08,50.595
2011-09-09,49.505
2011-09-12,49.625
2011-09-13,49.94
2011-09-14,50.695
2011-09-15,51.375
2011-09-16,51.22
2011-09-19,50.655
2011-09-20,50.775
2011-09-21,48.935
2011-09-22,47.93
2011-09-23,48.08
2011-09-26,49.195
2011-09-27,49.845
2011-09-28,48.74500000000001
2011-09-29,49.61
2011-09-30,48.55
2011-10-03,46.985
2011-10-04,48.12
2011-10-05,49.0
2011-10-06,49.81
2011-10-07,49.415
2011-10-10,50.745
2011-10-11,50.61
2011-10-12,50.965
2011-10-13,50.92
2011-10-14,51.325
2011-10-17,50.7
2011-10-18,51.86
2011-10-19,51.49
2011-10-20,51.71
2011-10-21,52.915
2011-10-24,53.18
2011-10-25,52.365
2011-10-26,52.84
2011-10-27,54.425
2011-10-28,54.13
2011-10-31,52.985
2011-11-01,52.75
2011-11-02,52.52500000000001
2011-11-03,53.51000000000001
2011-11-04,53.42
2011-11-07,53.59
2011-11-08,54.155
2011-11-09,52.35
2011-11-10,52.975
2011-11-11,53.71
2011-11-14,53.465
2011-11-15,53.645
2011-11-16,52.92
2011-11-17,52.515
2011-11-18,52.54
2011-11-21,51.465
2011-11-22,51.38
2011-11-23,50.445
2011-11-25,50.40000000000001
2011-11-28,51.595
2011-11-29,51.83
2011-11-30,53.765
2011-12-01,53.455
2011-12-02,53.11
2011-12-05,53.48
2011-12-06,53.685
2011-12-07,54.065
2011-12-08,52.895
2011-12-09,53.88
2011-12-12,53.175
2011-12-13,52.825
2011-12-14,52.46
2011-12-15,52.85
2011-12-16,52.29
2011-12-19,51.81
2011-12-20,53.145
2011-12-21,53.33
2011-12-22,53.65
2011-12-23,53.74500000000001
2011-12-27,54.25
2011-12-28,53.68
2011-12-29,54.25
2011-12-30,53.88
2012-01-03,54.315
2012-01-04,54.135
2012-01-05,54.08
2012-01-06,53.915
2012-01-09,54.005
2012-01-10,54.39
2012-01-11,54.35
2012-01-12,54.44
2012-01-13,54.38500000000001
2012-01-17,54.48
2012-01-18,54.9
2012-01-19,55.1
2012-01-20,55.165
2012-01-23,55.12000000000001
2012-01-24,55.235
2012-01-25,55.5
2012-01-26,55.555
2012-01-27,55.28
2012-01-30,54.995
2012-01-31,54.8
2012-02-01,55.455
2012-02-02,55.49500000000001
2012-02-03,56.035
2012-02-06,55.925
2012-02-07,55.99
2012-02-08,56.015
2012-02-09,56.065
2012-02-10,55.64
2012-02-13,55.765
2012-02-14,55.755
2012-02-15,55.535
2012-02-16,55.95
2012-02-17,56.2
2012-02-21,55.99500000000001
2012-02-22,55.655
2012-02-23,56.36
2012-02-24,55.955
2012-02-27,55.98
2012-02-28,55.93
2012-02-29,55.91
2012-03-01,56.065
2012-03-02,55.865
2012-03-05,55.995
2012-03-06,55.27
2012-03-07,55.725
2012-03-08,55.88500000000001
2012-03-09,56.22
2012-03-12,56.555
